 ,2704,2705,2706,2707,2708,2709,2713,2714,2715,2721,2723,2731,2751,2754,2755,2756,2757,2758,2759,2760,2761,2762,2763,2764,2765,2766,2767,2768,2769,2770,2771,2772,2773,2774,2775,2777,2778,2779,2780,2782,2783,2784,2785,2786,2787,2788,2796,2797,2798,2799,2817,2819,2820,2821,2822,2823,2824,2825,2826,2827,2828,2829,2830,2831,2833,2834,2836,2837,2838,2840,2841,2842,2843,2844,2845,2846,2847,2848,2859,2860,2861,2862,2863,2864,2865,2866,2873,2874,2875,2880,2881,2888,2889,2890,2896,2901,2902,2903,2904,2911,2912,2913,2914,2917,2918,2919,2920,2922,2923,2924,2925,2934,2943,2944,2950,2952,2953,2959,2960,2962,2963,2964,2967,2968,2975,2976,2983,2985,2986,2987,2993,2994,2995,2996,2997,2998,2999,3000,3001,3002,3003,3004,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3024,3025,3026,3031,3032,3033,3034,3036,3037,3039,3045,3046,3047,3048,3049,3050,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3069,3070,3071,3072,3092,3093,3094,3095,3096,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117,3118,3119,3121,3122,3123,3124,3125,3126,3127,3128,3129,3130,3131,3132,3133,3134,3135,3136,3137,3138,3139,3140,3142,3143,3144,3145,3146,3147,3148,3154,3155,3156,3157,3158,3159,3160,3161,3169,3170,3177,3178,3184,3185,3186,3187,3188,3189,3198,3200,3201,3202,3204,3206,3214,3215,3226,3227,3236,3248,3249,3250,3252,3258,3260,3261,3262,3263,3264,3269,3270,3274,3275,3276,3277,3284,3285,3286,3287,3288,3289,3290,3291,3292,3293,3294,3295,3296,3302,3303,3304,3310,3311,3312,3313,3314,3315,3317,3319,3320,3321,3322,3323,3326,3327,3330,3331,3332,3333,3334,3335,3336,3337,3338,3339,3342,3343,3344,3345,3346,3356,3357,3362,3363,3364,3370,3371,3372,3373,3374
161,9,9,9,9,9,1,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,1,9,9,1,9,1,1,1,1,6,1,9,9,1,1,1,9,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,6,6,6,1,9,9,9,9,6,9,9,9,9,1,9,1,1,1,1,1,9,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,9,1,1,9,9,1,1,6,6,6,1,6,1,1,1,1,6,1,6,6,1,1,6,1,1,6,1,1,9,9,1,6,1,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,6,6,9,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,9,1,9,1,1,1,9,1,6,6,6,6,1,6,1,1,6,6,6,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,9,1,9,1,9,9,9,9,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,6,1
164,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,9,9,9,9,1,1,1,1,1,1,1,1,1,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,6,1,1,1,9,1,9,1,1,9,1,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,9,9,9,1,1,1,9,1,1,9,9,9,9,9,6,6,9,9,9,9,9,9,9,9,9,1,1,9,9,1,1,9,9,1,9,1,1,1,1,9,6,6,6,6,1,6,1,1,6,6,6,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,9,1,1,9,1,1,9,1,9,1,9,9,9,9,1,1,1,1,1,1,9,1,1,9,1,9,1,1,9,9,9,9,9
165,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,6,1,1,9,1,9,1,6,9,1,9,1,1,1,6,6,6,6,1,6,1,6,1,6,6,1,6,1,1,1,9,9,9,9,1,6,9,9,9,9,9,9,1,9,9,9,1,1,1,1,6,1,1,1,9,9,9,6,6,6,1,1,1,1,1,1,9,9,1,9,9,1,1,9,1,1,1,9,1,1,1,1,1,6,1,1,1,1,9,9,9,9,6,1,1,1,1,6,6,6,6,1,1,1,1,9,1,1,1,1,1,1,6,6,6,1,6,9,1,9,6,1,9,6,6,9,1,6,9,1,9,1,6,6,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,1,1,6,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,1,1,1,1,1,1,1,1,1,6,6,9,1,9,1,1,1,1,1,9,1,1,9,1,1,1,1,9,1,1,9,1,1,1,1,1,6,6,6,6,1,6,6,1,6,6,6,1,1,1,6,1,1,9,6,6,1,6,1,1,1,1,1,1,1,1,1,1,9,1,9,1,9,9,9,9,1,1,1,1,1,1,6,1,1,1,1,1,1,1,9,1,6,9,1
166,1,1,1,1,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,1,1,1,1,1,9,9,9,9,9,1,6,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,1,1,9,1,1,1,1,9,1,1,1,1,1,9,9,9,1,9,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,9,6,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,1,9,1,1,1,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,6,6,6,6,1,6,1,1,6,6,6,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,9,1,9,1,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,6,6,1
169,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,1,1,1,9,1,1,1,1,1,1,6,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,1,1,1,9,1,9,1,1,1,1,6,1,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,1,9,9,1,1,1,9,1,1,9,9,9,9,9,9,6,9,1,1,9,9,9,9,9,9,1,1,1,1,1,9,9,1,1,1,1,1,1,1,6,6,6,1,6,6,9,1,6,6,1,6,6,9,9,9,9,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,6,6,1
170,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
172,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,6,1,1,1,1,1,9,1,1,1,1,1,1,6,6,1,1,6,1,6,9,9,9,9,1,1,1,1,1,1,6,1,9,1,9,6,9,9,9,9,9,9,6,1,9,1,1,1,1,1,6,9,9,9,9,1,1,6,6,6,1,9,9,1,1,9,9,9,1,6,1,1,1,9,1,1,1,6,1,1,1,1,1,6,1,1,1,1,9,9,9,9,9,9,9,9,1,9,9,1,6,1,1,1,9,1,1,9,1,1,6,1,6,6,6,1,6,1,1,9,9,1,1,6,1,1,9,6,9,1,1,1,6,6,9,1,1,6,6,1,1,9,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,6,9,9,6,9,1,9,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,1,1,1,1,6,6,6,6,6,6,6,1,1,6,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,1,1,1,1,6,6,9,1,9,1,9,1,1,1,9,9,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,6,6,6,6,1,6,1,1,6,6,6,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,6,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,6,1,1,9,1,1,1,1,1,1,6,6,1
173,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
175,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,6,1,1,9,1,9,1,6,9,1,9,1,1,1,1,6,6,6,1,6,1,9,1,6,6,1,6,1,1,1,6,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,6,1,1,1,9,9,9,9,9,9,9,1,9,1,1,1,1,1,1,6,1,1,1,1,1,1,9,9,9,1,1,1,1,6,1,1,1,1,9,9,9,9,6,1,1,1,9,6,6,6,6,1,9,1,1,1,9,9,1,9,9,1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,6,9,1,9,1,6,6,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,1,9,9,9,6,9,9,1,1,9,1,1,1,6,1,1,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,1,1,6,1,1,1,1,1,9,1,9,9,9,9,1,1,1,1,1,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,1,6,6,1,6,6,6,1,1,1,6,1,1,1,6,6,1,6,1,1,9,9,1,1,1,1,1,1,9,1,9,1,9,9,9,9,1,9,1,1,1,1,9,1,1,9,9,1,1,1,9,9,9,6,1
176,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1,6,6,1,6,1,6,9,1,6,9,6,1,6,1,9,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,1,1,9,1,6,6,1,1,9,6,6,1,9,1,6,1,6,1,1,1,9,9,1,9,9,1,1,1,9,9,1,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,6,1,1,1,1,1,1,1,9,1,9,1,6,9,1,9,9,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,9,1,1,6,1,1,1,1,1,1,6,1,9,1,9,1,1,1,1,1,1,1,1,6,6,1,1,6,6,6,6,1,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,9,6,6,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,9,9,9,9,9,9,6,9,1,1,1,9,9,9,9,9,9,9,9,1,1,1,1,9,6,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,1,1,1,6,6,6,6,6,6,6,1,6,6,1,6,6,1,6,1,1,1,1,1,6,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,9,9,1,1,6,6,1
177,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,1,6,6,1,6,1,9,1,1,6,1,6,1,1,6,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,9,9,1,6,9,9,1,9,9,9,9,9,1,1,9,9,9,1,1,1,9,1,1,9,1,1,1,1,1,1,1,9,1,9,6,1,1,1,1,1,9,9,9,9,1,1,1,1,6,9,1,1,9,9,9,1,1,1,1,1,9,1,1,1,1,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,9,9,1,9,9,1,9,1,1,1,1,1,1,9,1,1,1,1,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,9,1,9,9,9,9,9,9,9,9,1,1,9,9,1,1,1,1,1,1,9,1,1,1,1,1,6,1,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,9,1,1,1,6,9,6,6,6,6,6,1,6,6,9,9,9,9,9,1,1,1,1,9,6,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,9,1,6,1,9,1,6,6,1
178,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,1,1,1,1,1,1,9,9,6,6,1,1,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,1,6,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,6,1,9,1,9,9,9,9,9,6,1,1,1,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,6,6,6,1,6,1,1,9,6,9,9,6,9,1,1,1,1,1,1,1,9,1,1,1,1,6,6,1,1,1,9,9,9,9,9,9,9,9,1,9,1,1,6,1,1,1,1,1,1,1,1,1,9,1,1,9,9,9,9,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,9,1,1,1,1,1,1,9,1,1,1,9,9,9,1,1,1,6,1,1,1,1,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,1,9,9,9,9,9,9,9,9,6,6,6,6,1,6,1,1,6,6,6,1,1,1,1,1,1,1,6,6,9,9,1,1,1,1,1,1,1,1,1,1,9,9,9,1,9,9,9,9,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,6,1
179,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,6,6,1,1,9,1,9,6,1,9,6,6,1,1,6,9,1,9,1,6,6,6,6,6,6,6,1,9,9,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,6,1,9,1,1,1,1,1,1,9,9,9,1,1,9,1,1,1,1,9,6,1,1,1,6,6,6,6,6,6,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,9,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,9,1,1,6,6,9,1,9,9,9,9,9,9,1,9,9,9,9,1,1,1,1,1,1,9,1,1,1,9,9,6,6,6,6,1,6,6,1,6,6,6,1,1,1,6,1,1,9,9,9,1,6,1,1,1,1,1,1,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,9,9,9,9,9,6,1
181,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,6,6,1,6,1,6,1,1,6,1,6,1,1,6,1,1,1,6,1,1,1,1,9,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,9,9,9,6,1,1,1,9,6,1,1,1,1,6,1,6,1,1,9,1,1,1,1,9,1,6,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,9,1,1,1,1,1,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,1,1,1,1,1,6,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6
185,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,6,6,1,6,1,6,1,1,6,1,6,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,9,1,1,6,6,6,9,1,6,1,1,1,1,9,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,6,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,6,6,9,6,6,6,1,6,6,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1
187,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,6,1,1,9,1,9,1,6,9,1,9,1,1,1,6,6,6,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,9,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,1,1,1,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,1,1,1,9,6,1,1,1,1,9,1,1,1,9,9,9,9,1,6,6,6,6,1,9,1,1,1,1,9,9,9,9,9,9,6,6,1,6,9,1,9,6,1,9,6,6,1,1,6,9,1,9,1,6,6,6,6,6,6,6,1,1,6,1,1,1,1,1,1,1,1,9,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,6,1,1,1,1,1,9,1,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,6,6,9,1,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,1,1,9,1,1,1,9,9,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,1,6,1,9,1,1,1,1,1,1,1,1,9,1,9,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,6,6,1
190,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,1,6,1,6,1,1,6,1,6,1,1,6,1,1,1,6,1,1,9,9,1,1,1,1,1,1,1,1,1,9,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,9,9,9,9,1,1,6,6,6,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,1,9,9,1,9,9,9,9,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,9,1,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,1,1,1,9,1,6,1,1,6,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,9,1,1,9,1,6,1,1,9,1,9,1,1,1,6,9,1,1,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,6,6,9,6,1,6,6,1,6,9,1,9,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,1,1,9,9,1,1,1,1,9,6,6,9
193,1,1,1,1,1,9,1,1,1,1,1,9,9,1,1,1,6,6,1,6,1,6,1,1,6,1,6,1,1,1,1,1,1,6,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,9,6,1,1,1,6,6,6,1,1,1,1,1,1,1,6,9,1,9,1,9,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,9,9,9,9,6,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,1,1,1,9,1,6,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,1,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1,6,6,1,6,6,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,6,6,1,1,1,6,6,1
